Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1993","1993","ha","250000","F","FAO estimate"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1994","1994","ha","277738","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1995","1995","ha","307833","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1996","1996","ha","307021","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1997","1997","ha","305063","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1998","1998","ha","302517","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","1999","1999","ha","251310","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2000","2000","ha","250000","F","FAO estimate"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2001","2001","ha","243834","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2002","2002","ha","218000","F","FAO estimate"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2003","2003","ha","232439","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2004","2004","ha","260201","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2005","2005","ha","261175","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2006","2006","ha","295238","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2007","2007","ha","407147","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2008","2008","ha","391296","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2009","2009","ha","395003","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2010","2010","ha","498618","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2011","2011","ha","515882","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2012","2012","ha","528571","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2013","2013","ha","538466","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2014","2014","ha","561762","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2015","2015","ha","653910","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2016","2016","ha","700475","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2017","2017","ha","725961","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2018","2018","ha","764863","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2019","2019","ha","758523","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2020","2020","ha","856592","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1993","1993","hg/ha","7200","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1994","1994","hg/ha","7453","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1995","1995","hg/ha","7471","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1996","1996","hg/ha","7491","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1997","1997","hg/ha","7474","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1998","1998","hg/ha","7602","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","1999","1999","hg/ha","8653","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2000","2000","hg/ha","9199","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2001","2001","hg/ha","6445","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2002","2002","hg/ha","7339","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2003","2003","hg/ha","5429","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2004","2004","hg/ha","6002","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2005","2005","hg/ha","6571","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2006","2006","hg/ha","8179","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2007","2007","hg/ha","6715","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2008","2008","hg/ha","6651","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2009","2009","hg/ha","6721","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2010","2010","hg/ha","7432","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2011","2011","hg/ha","7304","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2012","2012","hg/ha","5213","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2013","2013","hg/ha","7280","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2014","2014","hg/ha","7476","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2015","2015","hg/ha","6989","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2016","2016","hg/ha","6697","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2017","2017","hg/ha","6188","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6466","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6362","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2020","2020","hg/ha","6827","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1993","1993","tonnes","180000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1994","1994","tonnes","207000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1995","1995","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1996","1996","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1997","1997","tonnes","228000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1998","1998","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1999","1999","tonnes","217450","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2000","2000","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2001","2001","tonnes","157155","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2002","2002","tonnes","160000","F","FAO estimate"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2003","2003","tonnes","126188","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2004","2004","tonnes","156170","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2005","2005","tonnes","171631","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2006","2006","tonnes","241482","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2007","2007","tonnes","273400","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2008","2008","tonnes","260239","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2009","2009","tonnes","265469","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2010","2010","tonnes","370569","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2011","2011","tonnes","376823","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2012","2012","tonnes","275530","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2013","2013","tonnes","392006","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2014","2014","tonnes","419980","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2015","2015","tonnes","457014","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2016","2016","tonnes","469091","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2017","2017","tonnes","449230","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2018","2018","tonnes","494574","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2019","2019","tonnes","482561","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2020","2020","tonnes","584790","","Official data"
